Space,Row,One,datetime_to_nearest_hour,id,norm_count,Ref,Cluster
1,5,1,2014-12-31 10:00:00,9,0.1568627450980392,41,5
1,5,1,2014-12-31 11:00:00,28,0.5294117647058824,41,5
1,5,1,2014-12-31 12:00:00,43,0.8235294117647058,41,5
1,5,1,2014-12-31 13:00:00,26,0.49019607843137253,41,5
1,5,1,2014-12-31 14:00:00,22,0.4117647058823529,41,5
1,5,1,2014-12-31 15:00:00,37,0.7058823529411765,41,5
1,5,1,2014-12-31 16:00:00,21,0.39215686274509803,41,5
1,5,1,2014-12-31 17:00:00,22,0.4117647058823529,41,5
1,5,1,2014-12-31 18:00:00,19,0.35294117647058826,41,5
1,5,1,2014-12-31 19:00:00,21,0.39215686274509803,41,5
1,5,1,2014-12-31 20:00:00,12,0.21568627450980393,41,5
1,5,1,2014-12-31 21:00:00,17,0.3137254901960784,41,5
1,5,1,2014-12-31 22:00:00,24,0.45098039215686275,41,5
1,5,1,2014-12-31 23:00:00,29,0.5490196078431373,41,5
1,5,1,2015-01-01 00:00:00,43,0.8235294117647058,41,5
1,5,1,2015-01-01 01:00:00,10,0.17647058823529413,41,5
1,5,1,2015-01-01 02:00:00,7,0.11764705882352941,41,5
1,5,1,2015-01-01 03:00:00,2,0.0196078431372549,41,5
1,5,1,2015-01-01 08:00:00,1,0.0,41,5
1,5,1,2015-01-01 09:00:00,5,0.0784313725490196,41,5
1,5,1,2015-01-01 10:00:00,23,0.43137254901960786,41,5
1,5,1,2015-01-01 11:00:00,22,0.4117647058823529,41,5
1,5,1,2015-01-01 12:00:00,23,0.43137254901960786,41,5
1,5,1,2015-01-01 13:00:00,31,0.5882352941176471,41,5
1,5,1,2015-01-01 14:00:00,34,0.6470588235294118,41,5
1,5,1,2015-01-01 15:00:00,18,0.3333333333333333,41,5
1,5,1,2015-01-01 16:00:00,20,0.37254901960784315,41,5
1,5,1,2015-01-01 17:00:00,18,0.3333333333333333,41,5
1,5,1,2015-01-01 18:00:00,27,0.5098039215686274,41,5
1,5,1,2015-01-01 19:00:00,42,0.803921568627451,41,5
1,5,1,2015-01-01 20:00:00,24,0.45098039215686275,41,5
1,5,1,2015-01-01 21:00:00,52,1.0,41,5
1,5,1,2015-01-01 22:00:00,36,0.6862745098039216,41,5
1,5,1,2015-01-01 23:00:00,44,0.8431372549019608,41,5
1,5,1,2015-02-01 00:00:00,21,0.39215686274509803,41,5
1,5,1,2015-02-01 01:00:00,4,0.058823529411764705,41,5
1,5,1,2015-02-01 02:00:00,1,0.0,41,5
1,5,1,2015-02-01 03:00:00,2,0.0196078431372549,41,5
1,6,1,2014-12-31 04:00:00,2,0.0,51,5
1,6,1,2014-12-31 05:00:00,8,0.06451612903225806,51,5
1,6,1,2014-12-31 06:00:00,23,0.22580645161290322,51,5
1,6,1,2014-12-31 07:00:00,29,0.2903225806451613,51,5
1,6,1,2014-12-31 08:00:00,54,0.5591397849462365,51,5
1,6,1,2014-12-31 09:00:00,62,0.6451612903225806,51,5
1,6,1,2014-12-31 10:00:00,48,0.4946236559139785,51,5
1,6,1,2014-12-31 11:00:00,31,0.3118279569892473,51,5
1,6,1,2014-12-31 12:00:00,73,0.7634408602150538,51,5
1,6,1,2014-12-31 13:00:00,45,0.46236559139784944,51,5
1,6,1,2014-12-31 14:00:00,48,0.4946236559139785,51,5
1,6,1,2014-12-31 15:00:00,55,0.5698924731182796,51,5
1,6,1,2014-12-31 16:00:00,30,0.3010752688172043,51,5
1,6,1,2014-12-31 17:00:00,45,0.46236559139784944,51,5
1,6,1,2014-12-31 18:00:00,42,0.43010752688172044,51,5
1,6,1,2014-12-31 19:00:00,70,0.7311827956989247,51,5
1,6,1,2014-12-31 20:00:00,57,0.5913978494623656,51,5
1,6,1,2014-12-31 21:00:00,16,0.15053763440860216,51,5
1,6,1,2014-12-31 22:00:00,15,0.13978494623655913,51,5
1,6,1,2014-12-31 23:00:00,14,0.12903225806451613,51,5
1,6,1,2015-01-01 00:00:00,29,0.2903225806451613,51,5
1,6,1,2015-01-01 01:00:00,8,0.06451612903225806,51,5
1,6,1,2015-01-01 02:00:00,19,0.1827956989247312,51,5
1,6,1,2015-01-01 03:00:00,7,0.053763440860215055,51,5
1,6,1,2015-01-01 04:00:00,16,0.15053763440860216,51,5
1,6,1,2015-01-01 05:00:00,8,0.06451612903225806,51,5
1,6,1,2015-01-01 06:00:00,11,0.0967741935483871,51,5
1,6,1,2015-01-01 07:00:00,7,0.053763440860215055,51,5
1,6,1,2015-01-01 08:00:00,13,0.11827956989247312,51,5
1,6,1,2015-01-01 09:00:00,35,0.3548387096774194,51,5
1,6,1,2015-01-01 10:00:00,30,0.3010752688172043,51,5
1,6,1,2015-01-01 11:00:00,32,0.3225806451612903,51,5
1,6,1,2015-01-01 12:00:00,52,0.5376344086021505,51,5
1,6,1,2015-01-01 13:00:00,52,0.5376344086021505,51,5
1,6,1,2015-01-01 14:00:00,39,0.3978494623655914,51,5
1,6,1,2015-01-01 15:00:00,40,0.40860215053763443,51,5
1,6,1,2015-01-01 16:00:00,55,0.5698924731182796,51,5
1,6,1,2015-01-01 17:00:00,43,0.44086021505376344,51,5
1,6,1,2015-01-01 18:00:00,67,0.6989247311827957,51,5
1,6,1,2015-01-01 19:00:00,95,1.0,51,5
1,6,1,2015-01-01 20:00:00,68,0.7096774193548387,51,5
1,6,1,2015-01-01 21:00:00,58,0.6021505376344086,51,5
1,6,1,2015-01-01 22:00:00,44,0.45161290322580644,51,5
1,6,1,2015-01-01 23:00:00,37,0.3763440860215054,51,5
1,6,1,2015-02-01 00:00:00,46,0.4731182795698925,51,5
1,6,1,2015-02-01 01:00:00,33,0.3333333333333333,51,5
1,6,1,2015-02-01 02:00:00,52,0.5376344086021505,51,5
1,6,1,2015-02-01 03:00:00,13,0.11827956989247312,51,5
1,7,1,2014-12-31 04:00:00,1,0.0,61,2
1,7,1,2014-12-31 06:00:00,2,0.024390243902439025,61,2
1,7,1,2014-12-31 07:00:00,7,0.14634146341463414,61,2
1,7,1,2014-12-31 08:00:00,25,0.5853658536585366,61,2
1,7,1,2014-12-31 09:00:00,14,0.3170731707317073,61,2
1,7,1,2014-12-31 10:00:00,20,0.4634146341463415,61,2
1,7,1,2014-12-31 11:00:00,20,0.4634146341463415,61,2
1,7,1,2014-12-31 12:00:00,32,0.7560975609756098,61,2
1,7,1,2014-12-31 13:00:00,36,0.8536585365853658,61,2
1,7,1,2014-12-31 14:00:00,26,0.6097560975609756,61,2
